 Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
,1990,2,28,23,43,36.6,,,"CALIFORNIA:  S,  CLAREMONT,  COVINA",34.14,-117.7,5,5.5,7,,,,,30,1,12.7,3,,,,,,,,,30,1,12.7,3,,,,
,1991,6,28,14,43,54.5,,,"CALIFORNIA:  ARCADIA, GLENDALE, LOS ANGELES",34.262,-118.002,11,5.1,7,2,1,,,104,3,33.5,4,,,,,2,1,,,104,3,33.5,4,,,,
,1992,4,25,18,6,4.2,2208,,"CALIFORNIA: HUMBOLDT COUNTY: FERNDALE, PETROLIA",40.368,-124.316,15,7.1,8,,,,,98,2,75,4,,,,,,,,,98,2,75,4,,,,
,1992,6,28,11,57,34.1,,,"CALIFORNIA: LANDERS, YUCCA  VALLEY",34.201,-116.436,1,7.6,9,3,1,,,400,3,92,4,,,,,3,1,,,400,3,92,4,,,,
,1993,3,25,13,34,35.4,,,WASHINGTON-OREGON BORDER,45.035,-122.607,21,5.6,7,,,,,,,28.4,4,,,,,,,,,,,28.4,4,,,,
,1993,9,21,3,28,55.4,,,OREGON:  KLAMATH FALLS,42.314,-122.012,11,6,7,2,1,,,,,7.5,3,,,,,2,1,,,,,7.5,3,,,,
,1994,1,17,12,30,55.3,2223,,CALIFORNIA:  NORTHRIDGE,34.213,-118.537,18,6.7,9,60,2,,,7000,4,40000,4,40000,4,,,60,2,,,7000,4,40000,4,40000,4,,
,1994,12,26,14,10,29.1,,,"CALIFORNIA:  EUREKA, SAMOA, ARCATA, BLUE LAKE",40.741,-124.31,23,5.5,7,,,,,,,2.1,2,,,,,,,,,,,2.1,2,,,,
,1999,6,15,20,42,5.9,,,"MEXICO:  PUEBLA, VERACRUZ, OAXACA, MORELOS, GUERRERO",18.386,-97.436,70,7,,20,1,,,200,3,226.8,4,,,2000,4,20,1,,,200,3,226.8,4,,,2000,4
,1999,9,30,16,31,15.6,,,MEXICO:  OAXACA,16.059,-96.931,61,7.5,8,35,1,,,215,3,164.8,4,,,2000,4,35,1,,,215,3,164.8,4,,,2000,4
,2000,9,3,8,36,30,,,CALIFORNIA:  NAPA,38.379,-122.413,10,5,7,,,,,41,1,50,4,,,,,,,,,41,1,50,4,,,,
,2001,2,28,18,54,32.8,,,"WASHINGTON:  OLYMPIA, SEATTLE, TACOMA",47.149,-122.727,52,6.8,8,1,1,,,400,3,2000,4,,,,,1,1,,,400,3,2000,4,,,,
,2002,11,3,22,12,41,,,"ALASKA:  SLANA, MENTASTA LAKE, FAIRBANKS",63.517,-147.444,5,7.9,9,,,,,1,1,56,4,,,,,,,,,1,1,56,4,,,,
,2003,12,22,19,15,56,,,"CALIFORNIA:  PASO ROBLES,TEMPLETON,ATASCADERO",35.706,-121.102,8,6.6,8,2,1,,,40,1,300,4,40,1,,,2,1,,,40,1,300,4,,,,
,2006,10,15,17,7,49.2,3017,,HAWAIIAN ISLANDS,19.878,-155.935,39,6.7,8,,,,,,3,73,4,,,,,,,,,,3,73,4,,,,
,2010,1,10,0,27,39.3,,,CALIFORNIA:  OFF COAST NORTHERN,40.652,-124.692,29,6.5,,,,,,30,1,21.8,3,,,,,,,,,30,1,21.8,3,,,,
,2010,4,4,22,40,43.1,,,MEXICO:  BAJA CALIFORNIA,32.297,-115.278,4,7.2,,2,1,,,233,3,1150,4,,,,3,2,1,,,233,3,1150,4,,,,3
,2011,8,23,17,51,4.5,,,"VIRGINIA:  LOUISA COUNTY, MARYLAND, WASHINGTON D.C.",37.936,-77.933,6,5.8,7,,,,,,,200,4,,,600,3,,,,,,,200,4,,,600,3
,2012,3,20,18,2,47.4,5447,,"MEXICO:  GUERRERO, OAXACA",16.493,-98.231,20,7.4,8,2,1,,,13,1,600,4,800,3,,,2,1,,,13,1,600,4,800,3,,
,2014,3,29,4,10,12,,,"CALIFORNIA:  LA HABRA, BREA, FULLERTON",33.863,-117.835,4,5.1,6,,,,,,1,10.8,3,,,20,1,,,,,,1,10.8,3,,,20,1
,2014,8,24,10,20,6,,,"CALIFORNIA:  NAPA, VALLEJO",38.216,-122.312,11,6.1,8,1,1,,,257,3,700,4,160,3,1034,4,1,1,,,257,3,700,4,160,3,1034,4
,2016,11,7,1,44,7,,,OKLAHOMA:  CUSHING,35.988,-96.805,3,5,6,,,,,,1,20,3,,,50,1,,,,,,1,20,3,,,50,1
,2017,9,8,4,49,2,5658,,"MEXICO: OAXACA, CHIAPAS, TABASCO; GUATEMALA",14.761,-94.103,46,8.2,9,98,2,,,251,3,4000,4,47468,4,94027,4,98,2,,,251,3,4000,4,47468,4,94027,4
,2017,9,19,18,14,7,,,"MEXICO: MEXICO CITY, MORELOS, PUEBLA",18.339,-98.68,39,7.1,9,369,3,,,6000,4,8000,4,226,3,184000,4,369,3,,,6000,4,8000,4,226,3,184000,4
,2018,11,30,17,29,28,,,ALASKA:  ANCHORAGE,61.34,-149.937,41,7,,,,,,117,3,150,4,2,1,1650,4,,,,,117,3,150,4,2,1,1650,4
,2019,7,6,3,19,52,,,CALIFORNIA:  RIDGECREST,35.766,-117.605,8,7.1,,,,,,,1,5300,4,101,3,287,3,,,,,,1,5300,4,101,3,287,3
,2020,3,18,13,9,31,,,UTAH,40.751,-112.078,12,5.7,6,,,,,,,48.5,4,,,,3,,,,,,,48.5,4,,,,3
